id,text,label
6e0c6d75b1,feeding baby fun smile coosfun,normal
fc2cbefa9d,journey wow cooler hehe possiblewow,normal
16fab9f95b,love story swiftlike,normal
e48b0b8a23,play ghost online update kirin pet metamorph job cant wait dragon petinteresting,normal
e00c6ef376,free fillin app ipod fun addictedthe addict,normal
6ce4a4954b,juss backk berkeleyy omg madd fun havent minute whassqoodd fun,normal
d33f811375,design quiteheavenly isnquiteheavenly,normal
7d8c4c11e4,hope unni audition fight dahye hope,normal
2dc51711bc,funny cute kidsfunny,normal
2863f435bd,happy wine jeje itsm free time care jaja love daya,normal
fab6b7d16c,avid fan magazine love magazinesavid,normal
c77717b103,love dear convert vidsi,normal
d8ba2a99a9,romance funnyromance funny,normal
90a2cdb657,spoil mum kick relax nice meal bottle favorite wine wine redfavorite,normal
95e12b1cb1,awesome work good friend awesome,normal
fa2654e730,chilliinchilliin,normal
a4e00d4d26,celticslakers rematch sound dont lolbetter,normal
bbbc46889b,thank yyyyyyyyyoooooooooouuuuuthank yyyyyyyyyoooooooooouuuuu,normal
58d382e07a,lucky kidi loserville pity ozlucky,normal
3d2fcd78c8,happy war day enjoy holiday ukhappy,normal
9339ee8e0b,work isnt ready post publicly beta test cool script codedcool,normal
a76f9cf8ce,sweeeeet san awesome love therelove,normal
4c41a35a2a,happy mother day mum therehappy,normal
92e1b6846e,baddie bestbest,normal
2207d982bc,beach prettypretty,normal
6b018d3d2d,awesome ocean beach yourbiggestfan real big fan yoursawesome,normal
40649553ef,haha work blip obvious thanks reblipping nice day thanks,normal
561b44a42f,safe trip joshy pooyoull knock dead speechsafe,normal
a05aea73d7,woof goi,normal
d421fbd332,thank afrin nasal spray giant teacup tonightthank,normal
a655fbb5eb,aww love daddy work day week day usi,normal
9843c4688e,hahaa awesomee hahaa,normal
87fbf14655,holy smoke trek freak awesomeeeeeawesomeeeee,normal
6649f3558c,prob hunnot,normal
94f67cfa6d,hey totally adore music outy,normal
29dfaf5e3b,shopping cleaning bmfing webcam chat nephew spesh good bank holiday nonethelessgood,normal
974b35f889,lmao love tooi,normal
6903cb08f2,nice celebrate mother day today nice mome,normal
1996048e7a,decide trans frm relaxed natural hair head root age instant gratificationi,normal
ae71041e21,candle wax enjoyableenjoyable,normal
