id,text,label
611857364396965889,merci pour partage,normal
614484565059596288,gray rainbow scarf lovewins,normal
614746522043973632,replace artist installation entralling,normal
614877582664835073,thank follow great hear diverse panel defeatingdepression,normal
611932373039644672,beautiful portrait,normal
611570404268883969,love painting,normal
614456889863208960,wot mate,normal
614016385442807809,workshop evaluate audience engagement early,normal
610916556751642624,road gainsborough oil canvas,normal
614499696015503361,lucky good luck,normal
612869223354925056,arrte mon brush lalmaa favourite custom bonlundi,normal
614497346521399296,work free ducciocaro exhibition play space movement architect,normal
613601881441570816,art student today enjoy,normal
611443771285188608,,normal
611561745392513024,waterloo live periscope tonight snow bonaparteandthebritish,normal
611172872044855296,digital installation girton artist residence project faade tonight,normal
612648200588038144,beautiful,normal
612999088162783232,sussanna pic,normal
614912375288893440,awesome museum,normal
611897570856714240,sneak peek indigenousaustralia exhibition,normal
614698049328291844,couldnt agree counting day till,normal
612924713883566080,bennicholson,normal
613407692657397760,instamuseum,normal
612736445820858368,favourite painting great artist,normal
614025292693180416,free cpd afternoon war game exhibition thurs jul plymouth,normal
614184660906704896,magna carta exhibition extraordinary imaginatively bit hancock,normal
612734845593219072,kudos topflight exhibition,normal
615448394635575296,blog museum tech youngster collection,normal
612168095252267008,ooh,normal
615107089619394560,enjoy amaze collection family,normal
615492699685318656,dwens brooch story anglosaxon film exhibition,normal
611239436739870720,beautiful painting thank,normal
612504789860118528,definingbeauty breathtaking exhibitionfascinating portrayal woman,normal
613390719949099008,haha case,normal
612328414201147392,great court photography,normal
613295358463057920,thing innit,normal
613044253921538048,discover art social medium noho cofounder mcintosh noho origin art,normal
614911271079661568,thank favourite follow mum great job defeatingdepression,normal
612540027558580224,treat follow jacksonpollock perfect,normal
615494776775950336,moonlight hepworth,normal
611582675472777216,place country,normal
611534671915143168,stone,normal
612618724726702080,visit today fail hemsworth austriangp,normal
615216644550430721,awwh possum,normal
612202552764039168,week exhibition food stun object corinium,normal
611947559444172801,wonderful experience hearing knox object keynote content decor country house gallery,normal
