id,text,label
0,simply copy paste text youtube video description box,normal
1,order increase booklet downloads great stormfronters youtube account display text description box uploaded youtube video,normal
2,march booklet download time counting,normal
3,click free download colorfully illustrate book zionist engineer intentional destruction western civilization,hateful
4,click download mb green banner link,normal
5,booklet update feb,normal
6,downloads,normal
7,simply copy text link paste description box youtube video,normal
8,advance download youtube description box info text file mediafire download dqhnczprro booklet description box _ info txt,normal
9,jew stupid black kill alongside white dirty hand muppet,hateful
10,info deffinetly,normal
11,hope room excite,normal
12,piece garbage,normal
13,comment,normal
14,die antwoord cookie thumper official video youtube,normal
15,white range,normal
16,high read report white free state count late census,normal
17,post story,normal
18,write book,normal
19,teach profession neighbourhood kid disgust,hateful
20,sad thing white student school,hateful
21,guess stick homeschooling kid,normal
22,randy blazak expert teach sociology star trek credit class student pay,normal
23,young people job,normal
24,underwater basket weave worthwhile skill account angry favorite comment,normal
25,tarzan movie zulu king kong image,normal
26,national geographic magazine early replete color photo villager,normal
27,albert schweitzer hour documentary movie theater,normal
28,vhs tape amazon,normal
29,god pale skin blue eye suppose literacy highly cultural intelligencia,hateful
30,girl start talk guy middle lip start,normal
31,check bad actor,normal
32,situation start bizarre,normal
33,sector supporter start sound fact israeli agent,normal
34,support,normal
35,read post israel training law enforcement,normal
36,remember boston marathon bombing watch fox news law enforcement consult israel advice,normal
37,dog,normal
38,free north carolina peterson vikinginme,normal
39,job area people post,normal
40,man adolf hitler perfect time start national political movement free country zionist banker,hateful
41,image week march freeman court judge bow sovereign youtube freeman court judge bow sovereign,normal
42,watch hollywood movie,normal
43,chris rock subsequently hat long time,normal
44,pathetic chimp,hateful
45,declare war innocent white population nation easily justified white nationalist,normal
46,seeker truth start watch benjamin freedman speaks video youtube,normal
47,watch hxbcyxjgm watch loss liberty film youtube,normal
48,watch kbdgmvodm watch min obama aipac youtube,normal
49,watch krdycxpbfs entire myron fagan video youtube,normal
50,watch okksbsoy free informative booklet video zionist engineer intentional destruction white people youtube,normal
51,watch nevtsys,normal
52,wntube net,normal
53,improve site,normal
54,contribute donate,normal
55,wntube net play php vid code,normal
56,paso texas soo mudd invasion river color play cross year round,hateful
58,folk faith family hail victory,normal
59,video event worth watch beautiful white lady scream scum scum scum ing scum muslim filth,hateful
60,protester clash military parade barking,normal
61,doe stupid folk,normal
62,order pizza deliver assault driver catch,normal
63,nice men pair,normal
64,courage honestly apprecated,normal
65,jesus christ lord,normal
66,nice day,normal
67,suppose concept male cow female cow produce cow repeat process understand,hateful
68,mad cow disease,hateful
69,sooner,normal
70,yeah hear,normal
71,left tear black kid kill church bombing year ago,normal
72,hear,normal
73,unsubscribed thread,normal
74,white folk require time,normal
75,guess pena forgot black speed skater gold glorify nbc minute,normal
76,sad inform kevin kill year ago,normal
77,visioncircle org archive html,normal
78,hard time,normal
79,friend ha work black,normal
80,coworkers white asian paki guy work mestizo week project,normal
81,people black,normal
82,hear school kid beating public school kid spell bee,normal
83,poor white family parent work,normal
84,school district ha white family left parent teach kid day week,normal
85,parent teach weekday teach,normal
87,intention set foot word,normal
88,excellent article jail,normal
89,suspect death year moore county girl repeat offender free probation,normal
90,steve reed reporter suspect charge murder year moore county girl suspend sentence crime free probation time slay,normal
91,perry ross schiro harnett county charge yesterday murder sept shoot death emily elizabeth haddock,normal
92,fourth suspect charge murder,normal
93,charge sherrod nicholas harrison michael graham currie van roger smith cameron harnett county,normal
94,suspect harrison currie repeat probation violator,normal
95,smith prior criminal record,normal
96,schiro late suspect charge kill arrest caliber handgun murder weapon car,normal
97,charge burglary larceny possession steal property,normal
98,suspect held bond moore county jail,normal
99,rest story,normal
100,nevermind knew groid report rape,hateful
101,surprised fast,normal
102,wral news local story,normal
103,obama ha membership prince hall black lodge president guy youtube youtube watch _ nlfrsregii zagami youtube,normal
104,negro aid reproduce die care kid crazy,hateful
105,hope starve,hateful
106,white person send single penny lift single finger,hateful
107,retard feral negro feral human talk occasionally pop abandon child,hateful
108,walk upright ha human arm leg,hateful
109,negro undoubtedly,hateful
110,occultopedia feral_children htmhttp ling lancs chimp kamala htmhttp occultopedia wildpeter htm aragorn,normal
111,time filthy comment georgia provide fact respond,normal
112,respond scum,hateful
113,reason large white family encourage day build population white ravage jewish attack ww hyperinflation,normal
114,nation walk door feel minority country,normal
115,white woman public fear assault mud,hateful
117,hope day proudly country,normal
118,thread watch video,normal
119,ha misunderstood keen learn,normal
120,retract animal lack skill properly raise half human child,hateful
121,apologize ignorance,normal
122,insinuate equal white ignore white nation,normal
123,white today white guilt laid feel black sexual relation child black accepted problem white race memo,hateful
124,people idea knowledge ha guilt attach,normal
